"especie_ID","ESPECIE_VA","NOME_VULGAR"
138,"Ficus elastica","árvore-da-borracha"
139,"Ficus macrophylla","figueira-estranguladora"
140,"Ficus microcarpa","árvore-do-pagode, figueira-de-goa"
141,"Ficus nitida","figueira-chorão"
142,"Ficus religiosa","figueira-dos-pagodes"
143,"Ficus rubiginosa","Fico"
144,"Ficus sp.","Fico"
145,"Fraxinus americana","freixo-americano"
146,"Fraxinus angustifolia","freixo (Freixo-das-folhas-estreitas)"
147,"Fraxinus angustifolia subsp. angustifolia","freixo-de folha-estreita"
148,"Fraxinus angustifolia var. Raywood","freixo-das-folhas-estreitas"
149,"Fraxinus excelsior","freixo-europeu"
150,"Fraxinus ornus","freixo-das-flores"
151,"Fraxinus pennsylvanica","freixo-da-Pensilvânia"
152,"Fraxinus sp.","freixo"
153,"Ginkgo biloba","ginkgo;nogueira-do-Japão;árvore-de-quarenta-dinheiros"
154,"Gleditsia triacanthos","espinheiro-da-Virgínia"
155,"Gleditsia triacanthos var. inermis 'Sunburst'","espinheiro-da-Virgínia"
156,"Grevillea robusta","grevílea"
157,"Hibiscus rosa-sinensis","rosa-da-china;cardeal"
158,"Hibiscus sp.","Hibisco"
159,"Hibiscus syriacus","Hibisco"
160,"Hibiscus syriacus (branco)","#N/A"
161,"Hibiscus syriacus var. Woodbridge","Hibisco"
162,"Howea belmoreana","kentia-das-terras-altas-de-Lord-Howe"
163,"Howea forsteriana","kentia-das-terras-baixas-de-Lord-Howe"
164,"Howea sp.","kentia"
165,"Ilex aquifolium","azevinho"
166,"Iochroma cyaneum","Não aplicável"
167,"Jacaranda mimosifolia","jacarandá-mimoso"
168,"Jubaea chilensis","palmeira-do-chile"
169,"Juglans nigra","nogueira-negra"
170,"Juglans regia","nogueira-comum"
171,"Koelreuteria paniculata","balões-de-s.joão;coreutéria"
172,"Koelreuteria paniculata var. Fastigiata","coreutéria"
173,"Lagerstroemia indica","flor-de-merenda;extremosa"
174,"Lagunaria patersonii","lagunaria"
175,"Lantana camara","lantana"
176,"Laurus nobilis","loureiro"
177,"Ligustrum japonicum ","Alfenheiro-do-Japão"
178,"Ligustrum lucidum","Alfenheiro-do-Japão"
179,"Ligustrum ovalifolium","alfenheiro-de-folha-oval"
180,"Ligustrum sinense","alfenheiro-da-China"
181,"Ligustrum sp.","alfenheiro;ligustro"
182,"Ligustrum vulgare","Alfenheiro"
183,"Liquidambar styraciflua","liquidâmbar"
184,"Liriodendron tulipifera","tulipeiro-da virgínia"
185,"Livistona chinensis","palmito-chinês"
186,"Magnolia grandiflora","magnolia-das-folhas-grandes"
187,"Magnolia sp.","magnólia"
188,"Magnolia x soulangeana","Magnolia-chinesa"
189,"Malus sp.","macieira"
190,"Malus sylvestris","macieira-silvestre"
191,"Melaleuca alternifolia","Árvore-de-chá"
192,"Melaleuca armillaris","Malaleuca"
193,"Melaleuca sp.","(empty)"
194,"Melaleuca styphelioides","Malaleuca"
195,"Melia azedarach","mélia;amargoseira"
196,"Metrosideros excelsa","Árvore-de-fogo"
197,"Metrosideros sp.","metrosídero"
198,"Morus alba","amoreira-branca"
199,"Morus nigra","amoreira-preta"
200,"Morus sp.","amoreira"
201,"Myoporum acuminatum","mil-poros;mióporo-acuminado"
202,"Myoporum laetum","Mióporo"
203,"Myoporum petiolatum","Mióporo"
204,"Myoporum sp.","(empty)"
205,"Myrtus communis","murta"
206,"Não identificada","Não identificada"
207,"Nerium oleander","loendro;cevadilha"
208,"Nicotiana glauca","charuteira"
209,"Olea europaea","oliveira"
210,"Olea europaea subsp. europaea","oliveira, zambujeiro"
211,"Olea europaea var. sylvestris","zambujeiro"
212,"Olea sp.","oliveira"
